name,component,carrier,bus0,bus1,r,x,b,s_nom,x_pu_eff,r_pu_eff,v_nom
642,line,AC,BPGR3J,KINC2-,0.068,0.6184,4.1277,1050.0,4.282548476454294e-06,4.7091412742382274e-07,380.0
643,line,AC,GRMO3A,GRMO3C,0.017,0.047,0.066,1000.0,3.254847645429363e-07,1.1772853185595569e-07,380.0
644,line,AC,GRMO3A,GRMO3C,0.012,0.035,0.049,1000.0,2.4238227146814406e-07,8.310249307479224e-08,380.0
645,line,AC,GRNA1-,HAWI3-,4.2501,13.0393,2.7334,132.0,9.029986149584489e-05,2.943282548476454e-05,380.0
646,line,AC,GRNA1-,JUNV1-,0.4329,1.1257,0.2305,132.0,7.795706371191136e-06,2.9979224376731304e-06,380.0
647,line,AC,GRNA1-,GRNA4C,0.0001,0.729,0.0001,2771.0,5.048476454293629e-06,6.925207756232687e-10,380.0
648,line,AC,GRNA1-,HAKB4B,0.0035,0.0381,1.1674,2210.0,2.638504155124654e-07,2.4238227146814406e-08,380.0
649,line,AC,HAKB4-,MOFF4C,0.0772,0.8467,25.9494,2210.0,5.863573407202216e-06,5.346260387811635e-07,380.0
650,line,AC,HARE3A,MOFF3A,0.304,1.375,21.563,184.0,9.522160664819945e-06,2.1052631578947366e-06,380.0
651,line,AC,HARR3-,KYPE3A,0.0692,0.2186,0.1174,40.0,1.5138504155124654e-06,4.792243767313019e-07,380.0
652,line,AC,HAWI3-,JUNV1-,3.7968,11.8507,2.4895,132.0,8.20685595567867e-05,2.629362880886427e-05,380.0
653,line,AC,HELE3-,WIYH1-,2.2553,5.5463,1.6125,109.0,3.840927977839335e-05,1.5618421052631578e-05,380.0
654,line,AC,HUCS4-,HUNE4-,0.0003,0.009,7.5055,1448.0,6.232686980609418e-08,2.0775623268698057e-09,380.0
655,line,AC,HUCS4-,HUNE4-,0.0003,0.0089,7.3943,1448.0,6.163434903047092e-08,2.0775623268698057e-09,380.0
656,line,AC,HUER1-,HUNF3-,0.003,0.016,0.396,146.0,1.1080332409972299e-07,2.077562326869806e-08,380.0
657,line,AC,HUER1-,HUNF3-,0.003,0.016,0.264,146.0,1.1080332409972299e-07,2.077562326869806e-08,380.0
658,line,AC,HUER1-,JUNA1T,0.052,0.365,12.94,175.0,2.527700831024931e-06,3.601108033240997e-07,380.0
659,line,AC,HUER1-,HUNE4-,0.0001,0.001,0.7263,2770.0,6.925207756232687e-09,6.925207756232687e-10,380.0
660,line,AC,HUER1-,HUNE4-,0.0001,0.001,0.7263,2770.0,6.925207756232687e-09,6.925207756232687e-10,380.0
661,line,AC,HUER1-,KILS1-,0.0853,1.1104,36.755,2030.0,7.689750692520775e-06,5.907202216066482e-07,380.0
662,line,AC,HUER1-,KILS1-,0.0853,1.1104,36.755,2030.0,7.689750692520775e-06,5.907202216066482e-07,380.0
663,line,AC,HUNE4-,HUNN2A,0.0008,0.0027,1.7445,607.0,1.8698060941828255e-08,5.54016620498615e-09,380.0
664,line,AC,HUNE4-,HUNN2B,0.0005,0.0019,1.1922,607.0,1.3157894736842106e-08,3.4626038781163434e-09,380.0
665,line,AC,HUNE4-,NEIL1C,0.0698,0.7107,20.1582,1390.0,4.921745152354571e-06,4.833795013850416e-07,380.0
666,line,AC,HUNE4-,NEIL1-,0.0694,0.7061,20.0274,1390.0,4.8898891966759e-06,4.806094182825485e-07,380.0
667,line,AC,HUNF3-,KILW3-,0.6051,3.1847,6.8629,146.0,2.205470914127424e-05,4.1904432132963985e-06,380.0
668,line,AC,HUNF3-,SACO3J,0.4354,2.2253,6.6009,146.0,1.5410664819944596e-05,3.015235457063712e-06,380.0
669,line,AC,HUNN2A,HUNN2C,0.0212,0.1068,11.7957,240.0,7.39612188365651e-07,1.4681440443213296e-07,380.0
671,line,AC,INVR1-,INVR2-,0.0001,0.011,0.0001,1000.0,7.617728531855956e-08,6.925207756232687e-10,380.0
672,line,AC,INVR1-,INVR2-,0.0001,0.011,0.0001,1000.0,7.617728531855956e-08,6.925207756232687e-10,380.0
673,line,AC,INVR2-,WIYH1-,0.2351,2.2709,15.4613,570.0,1.572645429362881e-05,1.6281163434903048e-06,380.0
674,line,AC,INWI1Q,TORN1-,0.038,0.061,2.365,115.0,4.224376731301939e-07,2.631578947368421e-07,380.0
675,line,AC,INWI1R,TORN1-,0.038,0.061,2.365,115.0,4.224376731301939e-07,2.631578947368421e-07,380.0
676,line,AC,JUNA1T,KILW3-,0.4909,2.779,0.643,146.0,1.9245152354570637e-05,3.399584487534626e-06,380.0
677,line,AC,JUNA1T,SACO3J,0.3218,1.8217,0.4215,151.0,1.2615650969529087e-05,2.2285318559556784e-06,380.0
678,line,AC,JUNB1-,JUNV1-,0.0001,0.0001,0.0001,132.0,6.925207756232687e-10,6.925207756232687e-10,380.0
679,line,AC,KAIM3A,SMEA1-,0.0374,0.3629,2.4323,1300.0,2.5131578947368423e-06,2.5900277008310253e-07,380.0
680,line,AC,KAIM3A,WHHO3-,0.0415,0.1456,20.1821,276.0,1.0083102493074793e-06,2.8739612188365654e-07,380.0
681,line,AC,KAIM3A,WHHO3-,0.0405,0.1421,19.6881,276.0,9.840720221606648e-07,2.8047091412742383e-07,380.0
682,line,AC,KAIM3-,KAIM3A,0.0625,13.5546,0.0001,120.0,9.386842105263158e-05,4.328254847645429e-07,380.0
683,line,AC,KAIM3-,KAIM3B,0.0624,13.55,0.0001,120.0,9.383656509695292e-05,4.3213296398891964e-07,380.0
684,line,AC,KEOO5-,NECU1R,0.8345,5.2149,1.561,132.0,3.611426592797784e-05,5.779085872576177e-06,380.0
685,line,AC,KIER3-,WIYH1-,0.3881,0.9293,7.6165,100.0,6.435595567867036e-06,2.687673130193906e-06,380.0
686,line,AC,KIER3-,WIYH1-,0.3833,0.9197,7.4585,100.0,6.369113573407202e-06,2.6544321329639888e-06,380.0
687,line,AC,KILB3-,WIYH1-,0.098,0.209,4.333,139.0,1.4473684210526315e-06,6.786703601108034e-07,380.0
688,line,AC,KILB3-,WIYH1-,0.115,0.199,8.02,139.0,1.3781163434903047e-06,7.963988919667591e-07,380.0
689,line,AC,KILG3A,MAHI1-,0.0719,0.2998,53.9497,352.0,2.0761772853185596e-06,4.979224376731302e-07,380.0
690,line,AC,KILS1-,MEAD1-,0.874,2.581,2.166,162.0,1.7873961218836564e-05,6.0526315789473685e-06,380.0
691,line,AC,KILS1-,KILT3-,0.0175,0.154,2.0858,204.0,1.0664819944598338e-06,1.2119113573407203e-07,380.0
692,line,AC,KILS1-,KILT3-,0.0178,0.1548,2.24,204.0,1.0720221606648198e-06,1.2326869806094183e-07,380.0
693,line,AC,KILS1-,STHA3-,0.0712,0.7173,19.8386,2000.0,4.967451523545707e-06,4.930747922437673e-07,380.0
694,line,AC,KILS1-,STHA3-,0.0712,0.7173,19.8386,2000.0,4.967451523545707e-06,4.930747922437673e-07,380.0
695,line,AC,KILW3-,MEAD1-,0.7331,2.9941,0.732,146.0,2.073476454293629e-05,5.076869806094183e-06,380.0
696,line,AC,KILW3-,MEAD1-,0.7331,2.9941,0.732,146.0,2.073476454293629e-05,5.076869806094183e-06,380.0
697,line,AC,KINB2J,KINC2-,0.0467,0.4237,7.0632,760.0,2.9342105263157896e-06,3.234072022160665e-07,380.0
698,line,AC,KINB2K,KINC2-,0.0483,0.4363,2.9716,910.0,3.0214681440443213e-06,3.344875346260388e-07,380.0
699,line,AC,KINC2-,LOAN2Q,0.0186,0.1855,1.1454,765.0,1.2846260387811634e-06,1.2880886426592796e-07,380.0
700,line,AC,KINC2-,LOAN2R,0.0186,0.1855,1.1454,765.0,1.2846260387811634e-06,1.2880886426592796e-07,380.0
701,line,AC,LAMB2-,LAMB2T,0.0001,0.0001,0.0001,1120.0,6.925207756232687e-10,6.925207756232687e-10,380.0
702,line,AC,LAMB2-,PORD3-,0.0182,0.1701,1.0531,955.0,1.17797783933518e-06,1.260387811634349e-07,380.0
703,line,AC,LAMB2-,PORD3-,0.0192,0.1721,2.1551,300.0,1.1918282548476455e-06,1.3296398891966757e-07,380.0
704,line,AC,LAMB2-,WIYH1-,0.0756,0.7303,4.9691,1050.0,5.057479224376731e-06,5.235457063711912e-07,380.0
705,line,AC,LAMB2T,WIYH1-,0.0756,0.7303,4.9691,1120.0,5.057479224376731e-06,5.235457063711912e-07,380.0
706,line,AC,LEVE3-,LEVT1Q,0.1957,0.4852,0.1093,143.0,3.3601108033241e-06,1.3552631578947368e-06,380.0
707,line,AC,LEVE3-,LEVT1R,0.2048,0.5083,0.1143,143.0,3.5200831024930747e-06,1.4182825484764544e-06,380.0
708,line,AC,LEVT1Q,REDH3-,0.7803,1.9339,0.4357,143.0,1.3392659279778394e-05,5.4037396121883655e-06,380.0
709,line,AC,LEVT1R,WFIE3-,1.588,4.18,0.9537,143.0,2.894736842105263e-05,1.0997229916897507e-05,380.0
710,line,AC,LOAN2-,LOAN2Q,0.0047,1.9355,0.0001,620.0,1.3403739612188365e-05,3.254847645429363e-08,380.0
711,line,AC,LOAN2-,LOAN2R,0.0047,1.9355,0.0001,620.0,1.3403739612188365e-05,3.254847645429363e-08,380.0
